Código (SKU);Produto;Quantidade;ICMS;IPI;PIS;COFINS;ST;Frete;Valor Total;Percentual
GIM-KIT-ABSOXI-10;Absorvente de Oxigênio Ageless ZP-300K 300cc Kit 10 Sachês Para Armazenamento de Alimentos| Removedor Oxigênio Armazenar;6;0;0;0;0;0;4,08;243,48;20,97 %
GIM-KIT-MAM-05-1;Kit 5 Bótons 3,5cm MAMONAS ASSASSINAS | Rock Nacional e Cómico/ Alternativo/ Nostalgia | Música | Pin Broche Alfinete;9;0;0;0;0;0;10,72;215,94;18,60 %
GIM-KIT-GOR-05-01;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin;5;0;0;0;0;0;0;114,5;9,86 %
GIM-KIT-BEA-05-01;Kit 5 Bótons The Beatles  bóton 3,5cm | Rock | Música | Personalizados Pin broche botton / Broche Alfinete - Kit 1;3;0;0;0;0;0;0;68,7;5,92 %
GIM-KIT-BEA-05-02;Kit 5 Bótons The Beatles  bóton 3,5cm | Rock | Música | Personalizados Pin broche botton / Broche Alfinete - Kit 2;2;0;0;0;0;0;9,62;55,42;4,77 %
GIM-KIT-STR-05-2;Kit 5 Bótons STRAY KIDS/ STAY/ SKZOO bóton 3,5cm | K-Pop | Música | Personalizados Pin Broche Alfinete / Presente Fofo -;2;0;0;0;0;0;9,62;54,27;4,67 %
GIM-KIT-SYS-05-2;Kit 5 Bótons 3,5cm SYSTEM OF A DOWN | Alternative Metal / Nu Metal| Música| Personalizados Pin Broche Alfinete/ Presente;2;0;0;0;0;0;0;45,8;3,94 %
GIM-KIT-GUN-05-1;Kit 5 Bótons GUNS N' ROSES bóton 3,5cm | Hard Rock/ Rock Clássico | Música | Personalizados Pin broche alfinete bottons;2;0;0;0;0;0;0;45,8;3,94 %
GIM-KIT-STR-05-3;Kit 5 Bótons STRAY KIDS/ STAY/ SKZOO bóton 3,5cm | K-Pop | Música | Personalizados Pin Broche Alfinete / Presente Fofo -;2;0;0;0;0;0;0;45,8;3,94 %
GIM-KIT-ABSOXI-10;Sachês Absorvente de Oxigênio Ageless Original | Kits com 5, 10 ou 20 Unidades para Armazenamento de Alimentos - Kit Fam;1;0;0;0;0;0;0,57;40,47;3,49 %
GIM-KIT-ABSOXI-5;Sachês Absorvente de Oxigênio Ageless Original | Kits com 5, 10 ou 20 Unidades para Armazenamento de Alimentos - Kit Ini;1;0;0;0;0;0;0;24,9;2,14 %
GIM-KIT-SYS-05-1;Kit 5 Bótons 3,5cm SYSTEM OF A DOWN | Alternative Metal / Nu Metal| Música| Personalizados Pin Broche Alfinete/ Presente;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-MET-05-02;Kit 5 Bótons METÁLLICA bóton 3,5cm | Heavy Metal / Thrash Metal | Música | Personalizados Pin Broche Alfinete / Presente;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-DEP-05-2;Kit 5 Bótons DEPECHE MODE bóton 3,5cm | Synth-Pop & Eletrônica/ New Wave/ Post-Punk |Música |Personalizados Pin alfinete;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-RED-05-3;Kit 5 Bótons 3,5cm RED HOT CHILLI PEPPERS | Alternative Rock / Funk Rock | Música | Personalizados Pin Broche Alfinete -;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-ADI-05-01;Kit 5 Bótons ADICTS  3,5cm – Bóton Aço, Acetato, Polipropileno  | Rock | Música | Personalizados Pin broche botton bóton;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-STR-05-1;Kit 5 Bótons STRAY KIDS/ STAY/ SKZOO bóton 3,5cm | K-Pop | Música | Personalizados Pin Broche Alfinete / Presente Fofo -;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-STR-05-4;Kit 5 Bótons STRAY KIDS/ STAY/ SKZOO bóton 3,5cm | K-Pop | Música | Personalizados Pin Broche Alfinete / Presente Fofo -;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-GOR-05-05;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin ;1;0;0;0;0;0;0;22,9;1,97 %
GIM-KIT-CÁS-05-1;Kit 5 Bótons 3,5cm CÁSSIA ELLER | Rock Nacional & MPB | Música | Personalizados Pin Broche Alfinete / Presente Fofo;1;0;0;0;0;0;0;22,9;1,97 %
